FII DERIVATIVES STATISTICS FOR 31-Oct-2025,,,,,,
,BUY,BUY,SELL,SELL,OPEN INTEREST AT THE END OF THE DAY,
,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores
INDEX FUTURES,13298,2605.34,21523,4216.91,174581,34180.47
BANKNIFTY FUTURES,2583,526.23,3876,790.18,38267,7792.68
FINNIFTY FUTURES,51,9.09,83,14.79,381,67.69
MIDCPNIFTY FUTURES,1031,195.62,1034,196.30,16261,3077.54
NIFTY FUTURES,9593,1867.38,16488,3208.25,119111,23144.18
NIFTYNXT50 FUTURES,40,7.03,42,7.38,561,98.38
,,,,,,
INDEX OPTIONS,8286185,1616066.22,8234992,1605954.31,2292880,443411.82
BANKNIFTY OPTIONS,97612,20055.31,97653,20073.22,158067,31951.88
FINNIFTY OPTIONS,5437,976.23,5336,959.97,5023,886.06
MIDCPNIFTY OPTIONS,42092,8051.43,39966,7633.78,31543,5947.43
NIFTY OPTIONS,8140932,1586963.28,8091936,1577269.31,2098087,404598.52
NIFTYNXT50 OPTIONS,112,19.96,101,18.03,160,27.93
,,,,,,
STOCK FUTURES,301147,20945.61,321502,21886.96,5910168,399837.23
,,,,,,
STOCK OPTIONS,354245,25682.49,346149,25064.52,302206,20470.40
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Notes:,,,,,,
,,,,,,
Both buy and sell positions have been considered,,,,,,
Options Value (Buy/Sell) = Strike price * Qty,,,,,,
Futures Value (Buy/Sell) = Traded Price * Qty,,,,,,
,,,,,,
Value & Open Interest at the end of day:,,,,,,
Options Value (End of day) = Underlying Close Price * Qty,,,,,,
Futures Value (End of day) = Closing Futures Price * Qty  (closing price is the daily settlement price of futures contracts),,,,,,
