FII DERIVATIVES STATISTICS FOR 02-Sep-2025,,,,,,
,BUY,BUY,SELL,SELL,OPEN INTEREST AT THE END OF THE DAY,
,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores
INDEX FUTURES,9529,1777.09,17407,3250.42,214865,39768.53
BANKNIFTY FUTURES,2668,506.98,5802,1103.25,37528,7103.38
FINNIFTY FUTURES,24,4.04,205,34.53,584,97.73
MIDCPNIFTY FUTURES,615,110.01,1119,200.06,24420,4360.35
NIFTY FUTURES,6168,1146.99,10248,1907.03,151703,28101.19
NIFTYNXT50 FUTURES,54,9.08,33,5.55,630,105.87
,,,,,,
INDEX OPTIONS,16868686,3120394.09,16655060,3080320.15,1147256,212039.17
BANKNIFTY OPTIONS,85792,16392.29,84138,16076.53,203931,38301.05
FINNIFTY OPTIONS,4791,812.52,5115,869.30,3082,512.30
MIDCPNIFTY OPTIONS,24739,4458.23,24664,4446.90,16020,2850.46
NIFTY OPTIONS,16753289,3098718.36,16541099,3058919.96,924085,170352.24
NIFTYNXT50 OPTIONS,75,12.69,44,7.48,138,23.12
,,,,,,
STOCK FUTURES,231228,15763.74,235676,16451.82,5464210,377001.05
,,,,,,
STOCK OPTIONS,248758,17579.88,244259,17339.52,253275,17234.81
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Notes:,,,,,,
,,,,,,
Both buy and sell positions have been considered,,,,,,
Options Value (Buy/Sell) = Strike price * Qty,,,,,,
Futures Value (Buy/Sell) = Traded Price * Qty,,,,,,
,,,,,,
Value & Open Interest at the end of day:,,,,,,
Options Value (End of day) = Underlying Close Price * Qty,,,,,,
Futures Value (End of day) = Closing Futures Price * Qty  (closing price is the daily settlement price of futures contracts),,,,,,
