FII DERIVATIVES STATISTICS FOR 09-Sep-2025,,,,,,
,BUY,BUY,SELL,SELL,OPEN INTEREST AT THE END OF THE DAY,
,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores
INDEX FUTURES,8300,1554.13,6790,1273.89,229886,42990.05
BANKNIFTY FUTURES,1294,246.72,1697,323.45,37294,7115.40
FINNIFTY FUTURES,21,3.56,20,3.39,557,94.39
MIDCPNIFTY FUTURES,437,78.98,320,57.78,24957,4516.69
NIFTY FUTURES,6524,1220.82,4738,886.74,166451,31157.46
NIFTYNXT50 FUTURES,24,4.05,15,2.54,627,106.13
,,,,,,
INDEX OPTIONS,12025798,2241315.22,12051836,2246813.85,1235358,230897.91
BANKNIFTY OPTIONS,82907,15836.87,84891,16201.77,221513,42033.58
FINNIFTY OPTIONS,4439,753.43,5400,911.85,5140,867.39
MIDCPNIFTY OPTIONS,23344,4240.56,23870,4332.59,22281,4018.80
NIFTY OPTIONS,11915055,2220475.33,11937618,2225357.93,986190,183938.67
NIFTYNXT50 OPTIONS,53,9.02,57,9.71,234,39.46
,,,,,,
STOCK FUTURES,190195,12875.80,190454,13127.22,5462235,381610.93
,,,,,,
STOCK OPTIONS,240564,17024.70,239085,16868.70,346130,23992.12
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Notes:,,,,,,
,,,,,,
Both buy and sell positions have been considered,,,,,,
Options Value (Buy/Sell) = Strike price * Qty,,,,,,
Futures Value (Buy/Sell) = Traded Price * Qty,,,,,,
,,,,,,
Value & Open Interest at the end of day:,,,,,,
Options Value (End of day) = Underlying Close Price * Qty,,,,,,
Futures Value (End of day) = Closing Futures Price * Qty  (closing price is the daily settlement price of futures contracts),,,,,,
