FII DERIVATIVES STATISTICS FOR 09-Oct-2025,,,,,,
,BUY,BUY,SELL,SELL,OPEN INTEREST AT THE END OF THE DAY,
,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores
INDEX FUTURES,14867,2832.85,12001,2288.29,218528,41502.44
BANKNIFTY FUTURES,2951,582.28,2561,505.19,27303,5393.54
FINNIFTY FUTURES,31,5.40,72,12.54,167,29.13
MIDCPNIFTY FUTURES,758,138.65,349,63.80,21672,3974.87
NIFTY FUTURES,11091,2100.35,8968,1698.01,168802,32004.48
NIFTYNXT50 FUTURES,36,6.18,51,8.75,584,100.42
,,,,,,
INDEX OPTIONS,5610308,1055798.05,5610499,1056056.13,1675626,317819.88
BANKNIFTY OPTIONS,128980,25506.75,129025,25513.33,221206,43505.15
FINNIFTY OPTIONS,9303,1634.70,8878,1555.61,10732,1864.23
MIDCPNIFTY OPTIONS,32652,5968.24,31765,5793.81,32343,5902.07
NIFTY OPTIONS,5439291,1022674.18,5440780,1023184.55,1411173,266519.13
NIFTYNXT50 OPTIONS,82,14.19,51,8.83,171,29.29
,,,,,,
STOCK FUTURES,268540,18813.41,246966,17360.91,5582927,392938.40
,,,,,,
STOCK OPTIONS,328997,23756.86,320627,23185.99,355292,24924.72
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Notes:,,,,,,
,,,,,,
Both buy and sell positions have been considered,,,,,,
Options Value (Buy/Sell) = Strike price * Qty,,,,,,
Futures Value (Buy/Sell) = Traded Price * Qty,,,,,,
,,,,,,
Value & Open Interest at the end of day:,,,,,,
Options Value (End of day) = Underlying Close Price * Qty,,,,,,
Futures Value (End of day) = Closing Futures Price * Qty  (closing price is the daily settlement price of futures contracts),,,,,,
