FII DERIVATIVES STATISTICS FOR 14-Nov-2025,,,,,,
,BUY,BUY,SELL,SELL,OPEN INTEREST AT THE END OF THE DAY,
,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores
INDEX FUTURES,13121,2574.87,22793,4448.14,218449,42899.48
BANKNIFTY FUTURES,2974,608.77,3216,658.22,38366,7861.20
FINNIFTY FUTURES,44,7.86,32,5.72,393,70.37
MIDCPNIFTY FUTURES,1074,209.22,1045,203.46,20410,3981.76
NIFTY FUTURES,8935,1732.58,18401,3563.44,158717,30887.72
NIFTYNXT50 FUTURES,94,16.44,99,17.30,563,98.43
,,,,,,
INDEX OPTIONS,9918234,1928763.42,9866396,1918317.12,2261780,441130.21
BANKNIFTY OPTIONS,187129,38407.50,190359,39053.79,208112,42546.44
FINNIFTY OPTIONS,7431,1332.27,7803,1399.34,4975,888.99
MIDCPNIFTY OPTIONS,52427,10220.46,51649,10052.16,49319,9573.43
NIFTY OPTIONS,9670908,1878743.13,9616302,1867761.56,1998866,388032.72
NIFTYNXT50 OPTIONS,339,60.06,283,50.27,508,88.63
,,,,,,
STOCK FUTURES,281623,19516.66,289273,19832.85,5958149,403779.79
,,,,,,
STOCK OPTIONS,472418,33712.69,478561,34164.03,532366,36611.92
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Notes:,,,,,,
,,,,,,
Both buy and sell positions have been considered,,,,,,
Options Value (Buy/Sell) = Strike price * Qty,,,,,,
Futures Value (Buy/Sell) = Traded Price * Qty,,,,,,
,,,,,,
Value & Open Interest at the end of day:,,,,,,
Options Value (End of day) = Underlying Close Price * Qty,,,,,,
Futures Value (End of day) = Closing Futures Price * Qty  (closing price is the daily settlement price of futures contracts),,,,,,
