FII DERIVATIVES STATISTICS FOR 25-Sep-2025,,,,,,
,BUY,BUY,SELL,SELL,OPEN INTEREST AT THE END OF THE DAY,
,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores
INDEX FUTURES,37162,6998.47,39749,7508.00,215034,40345.68
BANKNIFTY FUTURES,10047,1945.19,11858,2299.12,34192,6615.45
FINNIFTY FUTURES,245,41.96,131,22.44,262,44.86
MIDCPNIFTY FUTURES,5870,1066.64,6478,1176.04,23131,4164.86
NIFTY FUTURES,20987,3942.45,21216,3999.01,157082,29457.65
NIFTYNXT50 FUTURES,13,2.24,66,11.40,367,62.86
,,,,,,
INDEX OPTIONS,5429754,1026139.71,5402234,1020583.40,2060056,385852.89
BANKNIFTY OPTIONS,504500,97929.65,504616,97909.52,318854,61352.78
FINNIFTY OPTIONS,43885,7561.52,44155,7607.14,12201,2081.59
MIDCPNIFTY OPTIONS,123686,22429.34,122179,22172.29,47975,8612.10
NIFTY OPTIONS,4757429,898175.36,4730990,892843.49,1680406,313700.56
NIFTYNXT50 OPTIONS,254,43.83,294,50.96,620,105.86
,,,,,,
STOCK FUTURES,2180877,151574.96,2191281,151798.01,5688757,396057.95
,,,,,,
STOCK OPTIONS,623742,44608.21,603484,43344.75,442579,30483.35
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Notes:,,,,,,
,,,,,,
Both buy and sell positions have been considered,,,,,,
Options Value (Buy/Sell) = Strike price * Qty,,,,,,
Futures Value (Buy/Sell) = Traded Price * Qty,,,,,,
,,,,,,
Value & Open Interest at the end of day:,,,,,,
Options Value (End of day) = Underlying Close Price * Qty,,,,,,
Futures Value (End of day) = Closing Futures Price * Qty  (closing price is the daily settlement price of futures contracts),,,,,,
