FII DERIVATIVES STATISTICS FOR 26-Aug-2025,,,,,,
,BUY,BUY,SELL,SELL,OPEN INTEREST AT THE END OF THE DAY,
,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores
INDEX FUTURES,80187,14925.95,86878,16228.84,247911,46109.5
BANKNIFTY FUTURES,13265,2540.32,14472,2784.05,41404,7922.31
FINNIFTY FUTURES,603,102.64,734,124.45,661,112.17
MIDCPNIFTY FUTURES,8313,1487.08,8367,1499.32,25282,4500.93
NIFTY FUTURES,57943,10785.35,63167,11797.78,179807,33447.26
NIFTYNXT50 FUTURES,63,10.57,138,23.24,757,126.83
,,,,,,
INDEX OPTIONS,7039246,1316332.42,7014947,1311221.43,1883389,349945.88
BANKNIFTY OPTIONS,629883,122094.73,619956,120169.62,281554,53657.65
FINNIFTY OPTIONS,72116,12266.59,70464,11997.49,16931,2856.12
MIDCPNIFTY OPTIONS,157397,28262.42,161168,28980.32,37748,6696.67
NIFTY OPTIONS,6179600,1153666.66,6163016,1150015.87,1546342,286599.67
NIFTYNXT50 OPTIONS,250,42.02,343,58.13,813,135.77
,,,,,,
STOCK FUTURES,1562663,107141.83,1565567,107107.26,5645629,388948.82
,,,,,,
STOCK OPTIONS,317317,22329.71,317584,22377.67,380671,25674.54
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Notes:,,,,,,
,,,,,,
Both buy and sell positions have been considered,,,,,,
Options Value (Buy/Sell) = Strike price * Qty,,,,,,
Futures Value (Buy/Sell) = Traded Price * Qty,,,,,,
,,,,,,
Value & Open Interest at the end of day:,,,,,,
Options Value (End of day) = Underlying Close Price * Qty,,,,,,
Futures Value (End of day) = Closing Futures Price * Qty  (closing price is the daily settlement price of futures contracts),,,,,,
