FII DERIVATIVES STATISTICS FOR 15-Jul-2025,,,,,,
,BUY,BUY,SELL,SELL,OPEN INTEREST AT THE END OF THE DAY,
,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores
INDEX FUTURES,12640,2427.25,13398,2580.51,194418,37180.33
BANKNIFTY FUTURES,3423,685.81,4355,872.01,33917,6797.2
FINNIFTY FUTURES,59,10.36,87,15.28,666,117.02
MIDCPNIFTY FUTURES,903,168.33,660,122.85,19297,3614.79
NIFTY FUTURES,8186,1550.9,8238,1560.4,139946,26549.44
NIFTYNXT50 FUTURES,69,11.86,58,9.97,592,101.88
,,,,,,
INDEX OPTIONS,4078807,773217.37,4054800,768879.96,1506224,286376.41
BANKNIFTY OPTIONS,111909,22500.18,113100,22742.4,187663,37443.05
FINNIFTY OPTIONS,11023,1943.68,10864,1909.78,11734,2053.9
MIDCPNIFTY OPTIONS,28258,5251.28,29354,5451.55,30543,5705.09
NIFTY OPTIONS,3927571,743514.23,3901389,738760.05,1276103,241143.27
NIFTYNXT50 OPTIONS,46,7.99,93,16.19,181,31.1
,,,,,,
STOCK FUTURES,271960,18686.19,268838,18568.36,5559119,390716.69
,,,,,,
STOCK OPTIONS,275448,19791.36,277210,19924.6,774275,54221.04
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Notes:,,,,,,
,,,,,,
Both buy and sell positions have been considered,,,,,,
Options Value (Buy/Sell) = Strike price * Qty,,,,,,
Futures Value (Buy/Sell) = Traded Price * Qty,,,,,,
,,,,,,
Value & Open Interest at the end of day:,,,,,,
Options Value (End of day) = Underlying Close Price * Qty,,,,,,
Futures Value (End of day) = Closing Futures Price * Qty  (closing price is the daily settlement price of futures contracts),,,,,,
