FII DERIVATIVES STATISTICS FOR 22-Jul-2025,,,,,,
,BUY,BUY,SELL,SELL,OPEN INTEREST AT THE END OF THE DAY,
,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores
INDEX FUTURES,8437,1615.78,12647,2413.42,209962,39840.63
BANKNIFTY FUTURES,2650,529.27,3029,604.16,34218,6806.39
FINNIFTY FUTURES,43,7.56,47,8.27,611,107.25
MIDCPNIFTY FUTURES,565,104.96,558,103.64,19197,3553.24
NIFTY FUTURES,5060,953.65,8905,1678.87,155375,29278.04
NIFTYNXT50 FUTURES,119,20.34,108,18.49,561,95.72
,,,,,,
INDEX OPTIONS,3469880,655768.48,3462403,654271.21,1706915,323127.83
BANKNIFTY OPTIONS,179412,35823.63,183709,36629.98,241462,47965.43
FINNIFTY OPTIONS,17017,2986.33,15918,2802.89,11600,2035.08
MIDCPNIFTY OPTIONS,42360,7931.64,43005,8057.84,42732,7900.82
NIFTY OPTIONS,3230994,609010.03,3219702,606768.55,1410935,265194.76
NIFTYNXT50 OPTIONS,97,16.86,69,11.95,186,31.74
,,,,,,
STOCK FUTURES,265741,18830.65,294200,20345.87,5544233,387223.64
,,,,,,
STOCK OPTIONS,369334,27668.61,369623,27634.46,838065,58286.86
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Notes:,,,,,,
,,,,,,
Both buy and sell positions have been considered,,,,,,
Options Value (Buy/Sell) = Strike price * Qty,,,,,,
Futures Value (Buy/Sell) = Traded Price * Qty,,,,,,
,,,,,,
Value & Open Interest at the end of day:,,,,,,
Options Value (End of day) = Underlying Close Price * Qty,,,,,,
Futures Value (End of day) = Closing Futures Price * Qty  (closing price is the daily settlement price of futures contracts),,,,,,
