FII DERIVATIVES STATISTICS FOR 22-Sep-2025,,,,,,
,BUY,BUY,SELL,SELL,OPEN INTEREST AT THE END OF THE DAY,
,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores
INDEX FUTURES,14354,2730.04,11835,2255.49,196366,37229.31
BANKNIFTY FUTURES,2641,514.42,2219,432.69,27150,5277.86
FINNIFTY FUTURES,34,5.89,29,5.03,581,100.50
MIDCPNIFTY FUTURES,1113,205.31,1000,184.49,22918,4212.22
NIFTY FUTURES,10391,1973.70,8520,1621.54,145334,27571.72
NIFTYNXT50 FUTURES,175,30.71,67,11.75,383,67.01
,,,,,,
INDEX OPTIONS,8240669,1563233.21,8291020,1572774.34,2248713,425940.97
BANKNIFTY OPTIONS,239871,46715.39,247900,48249.34,274975,53206.65
FINNIFTY OPTIONS,17498,3037.72,17289,3002.94,7737,1334.13
MIDCPNIFTY OPTIONS,72790,13436.23,72983,13482.54,35728,6549.96
NIFTY OPTIONS,7910385,1500022.09,7952757,1508023.80,1929883,364781.84
NIFTYNXT50 OPTIONS,125,21.79,91,15.72,391,68.39
,,,,,,
STOCK FUTURES,307231,21879.40,320266,22507.41,5651629,399819.05
,,,,,,
STOCK OPTIONS,526535,38278.89,523160,38033.70,449123,31742.71
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Notes:,,,,,,
,,,,,,
Both buy and sell positions have been considered,,,,,,
Options Value (Buy/Sell) = Strike price * Qty,,,,,,
Futures Value (Buy/Sell) = Traded Price * Qty,,,,,,
,,,,,,
Value & Open Interest at the end of day:,,,,,,
Options Value (End of day) = Underlying Close Price * Qty,,,,,,
Futures Value (End of day) = Closing Futures Price * Qty  (closing price is the daily settlement price of futures contracts),,,,,,
