FII DERIVATIVES STATISTICS FOR 08-Sep-2025,,,,,,
,BUY,BUY,SELL,SELL,OPEN INTEREST AT THE END OF THE DAY,
,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores
INDEX FUTURES,11621,2175.41,11566,2166.21,227746,42503.16
BANKNIFTY FUTURES,2461,469.99,2037,388.85,36935,7051.13
FINNIFTY FUTURES,38,6.45,39,6.61,556,94.25
MIDCPNIFTY FUTURES,913,164.97,612,110.47,25206,4544.99
NIFTY FUTURES,8178,1528.77,8845,1654.69,164437,30709.40
NIFTYNXT50 FUTURES,31,5.24,33,5.59,612,103.39
,,,,,,
INDEX OPTIONS,7644306,1423839.69,7593279,1414415.70,2226341,414294.11
BANKNIFTY OPTIONS,114171,21808.22,111310,21238.31,222451,42188.78
FINNIFTY OPTIONS,11669,1987.55,10834,1842.90,4527,763.38
MIDCPNIFTY OPTIONS,30179,5461.50,28883,5221.01,22181,3987.69
NIFTY OPTIONS,7488168,1394562.18,7442155,1386097.00,1976988,367321.59
NIFTYNXT50 OPTIONS,119,20.24,97,16.49,194,32.67
,,,,,,
STOCK FUTURES,233810,16119.28,215932,14857.18,5463032,380634.55
,,,,,,
STOCK OPTIONS,272523,19580.43,267596,19141.46,337621,23250.24
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Notes:,,,,,,
,,,,,,
Both buy and sell positions have been considered,,,,,,
Options Value (Buy/Sell) = Strike price * Qty,,,,,,
Futures Value (Buy/Sell) = Traded Price * Qty,,,,,,
,,,,,,
Value & Open Interest at the end of day:,,,,,,
Options Value (End of day) = Underlying Close Price * Qty,,,,,,
Futures Value (End of day) = Closing Futures Price * Qty  (closing price is the daily settlement price of futures contracts),,,,,,
