FII DERIVATIVES STATISTICS FOR 17-Sep-2025,,,,,,
,BUY,BUY,SELL,SELL,OPEN INTEREST AT THE END OF THE DAY,
,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores
INDEX FUTURES,15709,3007.11,6808,1299.02,204788,39032.20
BANKNIFTY FUTURES,4240,825.52,1430,278.22,30222,5897.41
FINNIFTY FUTURES,33,5.72,36,6.24,559,96.90
MIDCPNIFTY FUTURES,769,142.12,437,80.76,24129,4457.33
NIFTY FUTURES,10666,2033.58,4840,922.53,149311,28482.27
NIFTYNXT50 FUTURES,1,0.17,65,11.27,567,98.28
,,,,,,
INDEX OPTIONS,3672460,696428.08,3691539,699961.31,1614340,307443.93
BANKNIFTY OPTIONS,205276,39936.04,206832,40225.92,246572,47890.77
FINNIFTY OPTIONS,9992,1725.34,9677,1673.55,7207,1244.38
MIDCPNIFTY OPTIONS,35222,6466.70,34590,6377.12,27545,5071.77
NIFTY OPTIONS,3421866,648282.26,3440331,651666.17,1332708,253183.76
NIFTYNXT50 OPTIONS,104,17.74,109,18.56,308,53.24
,,,,,,
STOCK FUTURES,237426,16580.51,240590,16982.30,5532472,393560.33
,,,,,,
STOCK OPTIONS,508575,36515.70,507626,36546.38,428996,30364.04
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Notes:,,,,,,
,,,,,,
Both buy and sell positions have been considered,,,,,,
Options Value (Buy/Sell) = Strike price * Qty,,,,,,
Futures Value (Buy/Sell) = Traded Price * Qty,,,,,,
,,,,,,
Value & Open Interest at the end of day:,,,,,,
Options Value (End of day) = Underlying Close Price * Qty,,,,,,
Futures Value (End of day) = Closing Futures Price * Qty  (closing price is the daily settlement price of futures contracts),,,,,,
