FII DERIVATIVES STATISTICS FOR 13-Nov-2025,,,,,,
,BUY,BUY,SELL,SELL,OPEN INTEREST AT THE END OF THE DAY,
,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores
INDEX FUTURES,12251,2412.03,9958,1958.41,209031,41045.19
BANKNIFTY FUTURES,3111,634.30,2138,437.50,38590,7892.32
FINNIFTY FUTURES,54,9.66,50,8.94,391,69.83
MIDCPNIFTY FUTURES,664,129.67,1059,206.70,20689,4016.91
NIFTY FUTURES,8368,1628.94,6670,1298.08,148767,28962.22
NIFTYNXT50 FUTURES,54,9.47,41,7.19,594,103.91
,,,,,,
INDEX OPTIONS,5456353,1057398.49,5414633,1049249.05,1892520,368888.06
BANKNIFTY OPTIONS,166221,34163.29,164670,33833.80,204207,41658.67
FINNIFTY OPTIONS,6400,1148.29,6343,1138.20,5603,997.73
MIDCPNIFTY OPTIONS,39931,7760.87,39034,7600.00,43955,8508.42
NIFTY OPTIONS,5243563,1014283.78,5204279,1006622.29,1638315,317646.41
NIFTYNXT50 OPTIONS,238,42.26,307,54.76,440,76.84
,,,,,,
STOCK FUTURES,319914,22319.49,306656,21395.41,5959667,403463.29
,,,,,,
STOCK OPTIONS,490004,35383.56,496124,35806.46,513859,35210.90
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Notes:,,,,,,
,,,,,,
Both buy and sell positions have been considered,,,,,,
Options Value (Buy/Sell) = Strike price * Qty,,,,,,
Futures Value (Buy/Sell) = Traded Price * Qty,,,,,,
,,,,,,
Value & Open Interest at the end of day:,,,,,,
Options Value (End of day) = Underlying Close Price * Qty,,,,,,
Futures Value (End of day) = Closing Futures Price * Qty  (closing price is the daily settlement price of futures contracts),,,,,,
