FII DERIVATIVES STATISTICS FOR 16-Oct-2025,,,,,,
,BUY,BUY,SELL,SELL,OPEN INTEREST AT THE END OF THE DAY,
,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores
INDEX FUTURES,40700,7875.65,14523,2808.94,225060,43432.72
BANKNIFTY FUTURES,7528,1513.07,3328,669.16,29436,5925.75
FINNIFTY FUTURES,113,20.04,49,8.70,384,68.41
MIDCPNIFTY FUTURES,1226,228.56,1770,329.88,22055,4113.40
NIFTY FUTURES,31824,6112.42,9356,1797.72,172634,33229.30
NIFTYNXT50 FUTURES,9,1.57,20,3.48,551,95.86
,,,,,,
INDEX OPTIONS,6513520,1241544.32,6390158,1217925.64,2081268,401437.84
BANKNIFTY OPTIONS,250415,50093.26,246147,49196.36,277076,55686.52
FINNIFTY OPTIONS,18051,3218.84,16588,2954.05,13357,2377.25
MIDCPNIFTY OPTIONS,52342,9660.04,52196,9627.72,41801,7760.44
NIFTY OPTIONS,6192530,1178540.46,6075021,1156111.59,1748596,335537.59
NIFTYNXT50 OPTIONS,182,31.71,206,35.91,438,76.05
,,,,,,
STOCK FUTURES,370953,26699.29,360034,26236.27,5620140,398607.95
,,,,,,
STOCK OPTIONS,417081,30360.04,413661,30121.01,435701,30857.36
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Notes:,,,,,,
,,,,,,
Both buy and sell positions have been considered,,,,,,
Options Value (Buy/Sell) = Strike price * Qty,,,,,,
Futures Value (Buy/Sell) = Traded Price * Qty,,,,,,
,,,,,,
Value & Open Interest at the end of day:,,,,,,
Options Value (End of day) = Underlying Close Price * Qty,,,,,,
Futures Value (End of day) = Closing Futures Price * Qty  (closing price is the daily settlement price of futures contracts),,,,,,
