FII DERIVATIVES STATISTICS FOR 13-Aug-2025,,,,,,
,BUY,BUY,SELL,SELL,OPEN INTEREST AT THE END OF THE DAY,
,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores
INDEX FUTURES,11136,2074.76,8635,1613.94,221067,41161.63
BANKNIFTY FUTURES,2234,433.65,2649,513.73,42024,8154.18
FINNIFTY FUTURES,48,8.21,33,5.65,725,124.2
MIDCPNIFTY FUTURES,1049,187.2,1179,210.16,22494,4015.08
NIFTY FUTURES,7782,1441.86,4760,882.07,155026,28735.05
NIFTYNXT50 FUTURES,23,3.83,14,2.33,798,133.12
,,,,,,
INDEX OPTIONS,5964276,1102473.05,5990383,1107717.98,1784409,330659.18
BANKNIFTY OPTIONS,93888,18351.67,94435,18468.67,171096,33044.56
FINNIFTY OPTIONS,11382,1968.05,12447,2145.83,11957,2039.26
MIDCPNIFTY OPTIONS,24249,4334.47,24157,4318.02,15454,2747.53
NIFTY OPTIONS,5834734,1077815,5859322,1082781.78,1585828,292815.35
NIFTYNXT50 OPTIONS,23,3.86,22,3.68,75,12.49
,,,,,,
STOCK FUTURES,313809,22714.62,281794,20122.9,5572105,379139.8
,,,,,,
STOCK OPTIONS,286365,20666.94,275586,19989.35,341878,23220.02
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Notes:,,,,,,
,,,,,,
Both buy and sell positions have been considered,,,,,,
Options Value (Buy/Sell) = Strike price * Qty,,,,,,
Futures Value (Buy/Sell) = Traded Price * Qty,,,,,,
,,,,,,
Value & Open Interest at the end of day:,,,,,,
Options Value (End of day) = Underlying Close Price * Qty,,,,,,
Futures Value (End of day) = Closing Futures Price * Qty  (closing price is the daily settlement price of futures contracts),,,,,,
