FII DERIVATIVES STATISTICS FOR 24-Sep-2025,,,,,,
,BUY,BUY,SELL,SELL,OPEN INTEREST AT THE END OF THE DAY,
,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores
INDEX FUTURES,21414,4048.53,24535,4646.37,204659,38547.17
BANKNIFTY FUTURES,4637,898.58,5160,1002.13,27083,5246.76
FINNIFTY FUTURES,50,8.61,70,12.06,574,98.69
MIDCPNIFTY FUTURES,1967,358.58,2112,385.07,22381,4057.65
NIFTY FUTURES,14713,2774.62,17085,3228.35,154307,29089.90
NIFTYNXT50 FUTURES,47,8.15,108,18.77,314,54.17
,,,,,,
INDEX OPTIONS,4753009,897622.39,4771561,901232.06,1743170,328686.08
BANKNIFTY OPTIONS,483669,93860.56,490394,95204.42,312766,60340.46
FINNIFTY OPTIONS,35283,6082.75,35098,6052.53,8701,1492.44
MIDCPNIFTY OPTIONS,121250,22185.00,122773,22468.86,43290,7821.42
NIFTY OPTIONS,4112503,775442.15,4123125,777476.60,1377849,258934.75
NIFTYNXT50 OPTIONS,304,51.94,171,29.65,564,97.02
,,,,,,
STOCK FUTURES,392469,27871.02,402965,28344.45,5709001,400062.40
,,,,,,
STOCK OPTIONS,588242,42961.21,582689,42552.36,438889,30643.46
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Notes:,,,,,,
,,,,,,
Both buy and sell positions have been considered,,,,,,
Options Value (Buy/Sell) = Strike price * Qty,,,,,,
Futures Value (Buy/Sell) = Traded Price * Qty,,,,,,
,,,,,,
Value & Open Interest at the end of day:,,,,,,
Options Value (End of day) = Underlying Close Price * Qty,,,,,,
Futures Value (End of day) = Closing Futures Price * Qty  (closing price is the daily settlement price of futures contracts),,,,,,
