FII DERIVATIVES STATISTICS FOR 21-Oct-2025,,,,,,
,BUY,BUY,SELL,SELL,OPEN INTEREST AT THE END OF THE DAY,
,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores
INDEX FUTURES,1856,361.20,1557,303.68,220479,42939.40
BANKNIFTY FUTURES,330,67.05,239,48.57,33509,6801.52
FINNIFTY FUTURES,10,1.79,35,6.26,313,55.98
MIDCPNIFTY FUTURES,289,53.61,86,15.95,20755,3845.34
NIFTY FUTURES,1227,238.76,1197,232.90,165353,32141.15
NIFTYNXT50 FUTURES,0,0.00,0,0.00,549,95.40
,,,,,,
INDEX OPTIONS,779536,150591.13,801042,154667.27,1777103,347005.12
BANKNIFTY OPTIONS,48910,9919.05,50374,10206.35,331601,67323.33
FINNIFTY OPTIONS,3466,616.63,3597,637.28,16822,3010.96
MIDCPNIFTY OPTIONS,12445,2301.37,12903,2386.07,57363,10626.18
NIFTY OPTIONS,714629,137739.28,734135,141431.81,1370789,265952.88
NIFTYNXT50 OPTIONS,86,14.80,33,5.75,528,91.77
,,,,,,
STOCK FUTURES,26294,1902.46,19099,1475.17,5753877,408615.41
,,,,,,
STOCK OPTIONS,16763,1302.80,18451,1426.36,473739,34250.21
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Notes:,,,,,,
,,,,,,
Both buy and sell positions have been considered,,,,,,
Options Value (Buy/Sell) = Strike price * Qty,,,,,,
Futures Value (Buy/Sell) = Traded Price * Qty,,,,,,
,,,,,,
Value & Open Interest at the end of day:,,,,,,
Options Value (End of day) = Underlying Close Price * Qty,,,,,,
Futures Value (End of day) = Closing Futures Price * Qty  (closing price is the daily settlement price of futures contracts),,,,,,
