FII DERIVATIVES STATISTICS FOR 16-Jul-2025,,,,,,
,BUY,BUY,SELL,SELL,OPEN INTEREST AT THE END OF THE DAY,
,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores
INDEX FUTURES,10091,1957.17,13783,2648.13,197434,37717.54
BANKNIFTY FUTURES,4613,924.23,3890,779.3,33226,6662.34
FINNIFTY FUTURES,106,18.6,75,13.17,689,120.79
MIDCPNIFTY FUTURES,619,115.79,588,109.99,19466,3637.68
NIFTY FUTURES,4691,887.89,9160,1733.62,143455,27193.6
NIFTYNXT50 FUTURES,62,10.68,70,12.06,598,103.13
,,,,,,
INDEX OPTIONS,4356105,826286.28,4354902,826165.28,1599818,304378
BANKNIFTY OPTIONS,113423,22810.54,109260,21976.38,194155,38848.73
FINNIFTY OPTIONS,9581,1684.57,9804,1720.61,11639,2036.32
MIDCPNIFTY OPTIONS,34840,6526.59,37401,7002.63,39088,7290.96
NIFTY OPTIONS,4198217,795256.92,4198409,795460.81,1354737,256167.73
NIFTYNXT50 OPTIONS,44,7.65,28,4.84,199,34.26
,,,,,,
STOCK FUTURES,255893,17904.48,304568,21519.39,5567144,391259.1
,,,,,,
STOCK OPTIONS,316379,23032.27,315672,22924.87,779538,54661.59
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Notes:,,,,,,
,,,,,,
Both buy and sell positions have been considered,,,,,,
Options Value (Buy/Sell) = Strike price * Qty,,,,,,
Futures Value (Buy/Sell) = Traded Price * Qty,,,,,,
,,,,,,
Value & Open Interest at the end of day:,,,,,,
Options Value (End of day) = Underlying Close Price * Qty,,,,,,
Futures Value (End of day) = Closing Futures Price * Qty  (closing price is the daily settlement price of futures contracts),,,,,,
