FII DERIVATIVES STATISTICS FOR 20-Oct-2025,,,,,,
,BUY,BUY,SELL,SELL,OPEN INTEREST AT THE END OF THE DAY,
,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores
INDEX FUTURES,22482,4418.54,17290,3390.26,219042,42696.50
BANKNIFTY FUTURES,7034,1431.75,3985,811.39,33424,6800.13
FINNIFTY FUTURES,80,14.36,58,10.41,280,50.14
MIDCPNIFTY FUTURES,1795,334.05,813,151.30,20424,3790.98
NIFTY FUTURES,13555,2635.25,12403,2411.76,164365,31959.85
NIFTYNXT50 FUTURES,18,3.13,31,5.39,549,95.39
,,,,,,
INDEX OPTIONS,19830835,3848431.09,19803528,3842885.81,1655929,323232.30
BANKNIFTY OPTIONS,349425,70699.80,350510,70846.00,328965,66818.09
FINNIFTY OPTIONS,21113,3779.54,20564,3690.10,17127,3062.06
MIDCPNIFTY OPTIONS,75642,14061.96,77119,14347.92,60183,11149.54
NIFTY OPTIONS,19384542,3759870.06,19355247,3753986.50,1249169,242118.40
NIFTYNXT50 OPTIONS,113,19.73,88,15.29,485,84.21
,,,,,,
STOCK FUTURES,381986,28081.42,338136,25294.33,5745248,408127.12
,,,,,,
STOCK OPTIONS,572456,43297.52,578540,43855.74,474417,34282.56
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Notes:,,,,,,
,,,,,,
Both buy and sell positions have been considered,,,,,,
Options Value (Buy/Sell) = Strike price * Qty,,,,,,
Futures Value (Buy/Sell) = Traded Price * Qty,,,,,,
,,,,,,
Value & Open Interest at the end of day:,,,,,,
Options Value (End of day) = Underlying Close Price * Qty,,,,,,
Futures Value (End of day) = Closing Futures Price * Qty  (closing price is the daily settlement price of futures contracts),,,,,,
