FII DERIVATIVES STATISTICS FOR 23-Jul-2025,,,,,,
,BUY,BUY,SELL,SELL,OPEN INTEREST AT THE END OF THE DAY,
,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores
INDEX FUTURES,12667,2430.86,8770,1670.85,209899,40088.92
BANKNIFTY FUTURES,3666,732.65,1501,300.08,33817,6777.77
FINNIFTY FUTURES,71,12.54,68,12.01,622,110.13
MIDCPNIFTY FUTURES,481,89.35,714,132.41,19346,3608.56
NIFTY FUTURES,8401,1588.15,6412,1213.55,155518,29490.42
NIFTYNXT50 FUTURES,48,8.17,75,12.8,596,102.03
,,,,,,
INDEX OPTIONS,5031780,952687.24,5037909,954244.37,1766101,336561.44
BANKNIFTY OPTIONS,240776,48136.86,248516,49702.2,255886,51237.82
FINNIFTY OPTIONS,23613,4171.11,23612,4174.08,14997,2653.01
MIDCPNIFTY OPTIONS,49574,9242.93,48815,9093.18,44135,8203.32
NIFTY OPTIONS,4717602,891099.12,4716774,891241.75,1450868,274430.53
NIFTYNXT50 OPTIONS,215,37.23,192,33.17,215,36.75
,,,,,,
STOCK FUTURES,308027,21152.56,287872,19891.88,5547218,389331.44
,,,,,,
STOCK OPTIONS,416697,30998.21,415511,30837.01,846881,59158.23
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Notes:,,,,,,
,,,,,,
Both buy and sell positions have been considered,,,,,,
Options Value (Buy/Sell) = Strike price * Qty,,,,,,
Futures Value (Buy/Sell) = Traded Price * Qty,,,,,,
,,,,,,
Value & Open Interest at the end of day:,,,,,,
Options Value (End of day) = Underlying Close Price * Qty,,,,,,
Futures Value (End of day) = Closing Futures Price * Qty  (closing price is the daily settlement price of futures contracts),,,,,,
