FII DERIVATIVES STATISTICS FOR 27-Oct-2025,,,,,,
,BUY,BUY,SELL,SELL,OPEN INTEREST AT THE END OF THE DAY,
,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores
INDEX FUTURES,57522,11293.99,58607,11537.16,221392,43513.65
BANKNIFTY FUTURES,13850,2826.36,14552,2966.10,45454,9286.94
FINNIFTY FUTURES,127,22.78,133,23.91,355,63.69
MIDCPNIFTY FUTURES,6452,1206.94,6570,1228.90,20654,3875.13
NIFTY FUTURES,36974,7217.23,37236,7298.00,154443,30203.20
NIFTYNXT50 FUTURES,119,20.69,116,20.25,486,84.69
,,,,,,
INDEX OPTIONS,10278305,2002162.32,10312423,2008975.48,2546200,498773.22
BANKNIFTY OPTIONS,1205563,245236.46,1212835,246742.07,435059,88490.92
FINNIFTY OPTIONS,102785,18426.62,102768,18418.51,16475,2946.94
MIDCPNIFTY OPTIONS,224160,41788.97,226632,42273.21,71593,13376.02
NIFTY OPTIONS,8745039,1696579.11,8769734,1701462.77,2021874,393750.68
NIFTYNXT50 OPTIONS,758,131.16,454,78.93,1199,208.66
,,,,,,
STOCK FUTURES,1701384,121904.57,1639119,117315.86,5815294,416985.92
,,,,,,
STOCK OPTIONS,465475,35680.84,477264,36672.38,415380,29805.94
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Notes:,,,,,,
,,,,,,
Both buy and sell positions have been considered,,,,,,
Options Value (Buy/Sell) = Strike price * Qty,,,,,,
Futures Value (Buy/Sell) = Traded Price * Qty,,,,,,
,,,,,,
Value & Open Interest at the end of day:,,,,,,
Options Value (End of day) = Underlying Close Price * Qty,,,,,,
Futures Value (End of day) = Closing Futures Price * Qty  (closing price is the daily settlement price of futures contracts),,,,,,
