FII DERIVATIVES STATISTICS FOR 03-Nov-2025,,,,,,
,BUY,BUY,SELL,SELL,OPEN INTEREST AT THE END OF THE DAY,
,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores
INDEX FUTURES,9636,1896.74,15790,3090.89,181471,35574.14
BANKNIFTY FUTURES,3370,687.61,3068,626.11,38501,7869.77
FINNIFTY FUTURES,41,7.30,45,8.01,373,66.52
MIDCPNIFTY FUTURES,708,134.71,472,89.92,16215,3098.10
NIFTY FUTURES,5359,1039.23,12150,2357.15,125756,24428.95
NIFTYNXT50 FUTURES,158,27.88,55,9.71,626,110.80
,,,,,,
INDEX OPTIONS,8581220,1660853.11,8603540,1666155.13,2269862,439830.55
BANKNIFTY OPTIONS,79926,16403.72,80482,16519.66,160789,32679.04
FINNIFTY OPTIONS,5352,960.60,5775,1034.82,6430,1141.25
MIDCPNIFTY OPTIONS,32428,6211.23,29184,5588.34,40343,7675.12
NIFTY OPTIONS,8463411,1637259.12,8487920,1642980.17,2062122,398303.77
NIFTYNXT50 OPTIONS,103,18.44,179,32.14,178,31.37
,,,,,,
STOCK FUTURES,283529,19576.17,301887,20568.73,5920220,401953.37
,,,,,,
STOCK OPTIONS,303576,22014.98,304842,22068.50,343878,23483.18
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Notes:,,,,,,
,,,,,,
Both buy and sell positions have been considered,,,,,,
Options Value (Buy/Sell) = Strike price * Qty,,,,,,
Futures Value (Buy/Sell) = Traded Price * Qty,,,,,,
,,,,,,
Value & Open Interest at the end of day:,,,,,,
Options Value (End of day) = Underlying Close Price * Qty,,,,,,
Futures Value (End of day) = Closing Futures Price * Qty  (closing price is the daily settlement price of futures contracts),,,,,,
