FII DERIVATIVES STATISTICS FOR 23-Sep-2025,,,,,,
,BUY,BUY,SELL,SELL,OPEN INTEREST AT THE END OF THE DAY,
,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores
INDEX FUTURES,15135,2891.48,13059,2484.74,196298,37216.01
BANKNIFTY FUTURES,5336,1040.34,2700,526.29,26826,5238.97
FINNIFTY FUTURES,26,4.50,27,4.68,578,100.15
MIDCPNIFTY FUTURES,507,93.06,669,122.97,22910,4207.88
NIFTY FUTURES,9186,1739.62,9583,1816.83,145731,27624.90
NIFTYNXT50 FUTURES,80,13.96,80,13.97,253,44.11
,,,,,,
INDEX OPTIONS,20306243,3847657.71,20261934,3839552.65,1403787,266251.69
BANKNIFTY OPTIONS,312163,60750.45,317218,61707.88,294569,57230.08
FINNIFTY OPTIONS,18892,3277.22,18879,3273.60,8200,1415.62
MIDCPNIFTY OPTIONS,70069,12898.66,71736,13206.19,39895,7302.61
NIFTY OPTIONS,19904957,3770703.43,19853973,3761342.73,1060704,200230.42
NIFTYNXT50 OPTIONS,162,27.96,128,22.25,419,72.95
,,,,,,
STOCK FUTURES,314454,22314.99,302862,21528.22,5679377,401348.80
,,,,,,
STOCK OPTIONS,605321,43953.65,598050,43455.53,439242,30994.06
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Notes:,,,,,,
,,,,,,
Both buy and sell positions have been considered,,,,,,
Options Value (Buy/Sell) = Strike price * Qty,,,,,,
Futures Value (Buy/Sell) = Traded Price * Qty,,,,,,
,,,,,,
Value & Open Interest at the end of day:,,,,,,
Options Value (End of day) = Underlying Close Price * Qty,,,,,,
Futures Value (End of day) = Closing Futures Price * Qty  (closing price is the daily settlement price of futures contracts),,,,,,
