FII DERIVATIVES STATISTICS FOR 19-Aug-2025,,,,,,
,BUY,BUY,SELL,SELL,OPEN INTEREST AT THE END OF THE DAY,
,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores
INDEX FUTURES,7825,1488.41,8032,1523.52,212895,40150.7
BANKNIFTY FUTURES,2905,568.76,2374,465.09,41559,8143.32
FINNIFTY FUTURES,35,6.06,45,7.8,734,127.19
MIDCPNIFTY FUTURES,388,70.15,476,86.07,21877,3969.17
NIFTY FUTURES,4461,837.33,5129,963.21,147897,27770.31
NIFTYNXT50 FUTURES,36,6.1,8,1.35,828,140.7
,,,,,,
INDEX OPTIONS,3818968,716491.03,3794917,712086.8,1525939,287019.97
BANKNIFTY OPTIONS,148143,29073.08,148760,29205.34,180923,35375.49
FINNIFTY OPTIONS,24019,4169.67,23863,4133.95,13995,2419.04
MIDCPNIFTY OPTIONS,53655,9688.5,53985,9722.52,21890,3955.88
NIFTY OPTIONS,3593042,673541.3,3568234,669012.38,1308985,245244.78
NIFTYNXT50 OPTIONS,109,18.48,75,12.61,146,24.79
,,,,,,
STOCK FUTURES,291567,20147.56,256673,17753.2,5640555,391642.58
,,,,,,
STOCK OPTIONS,402173,28581.84,404533,28692.01,401093,27574.42
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Notes:,,,,,,
,,,,,,
Both buy and sell positions have been considered,,,,,,
Options Value (Buy/Sell) = Strike price * Qty,,,,,,
Futures Value (Buy/Sell) = Traded Price * Qty,,,,,,
,,,,,,
Value & Open Interest at the end of day:,,,,,,
Options Value (End of day) = Underlying Close Price * Qty,,,,,,
Futures Value (End of day) = Closing Futures Price * Qty  (closing price is the daily settlement price of futures contracts),,,,,,
