FII DERIVATIVES STATISTICS FOR 17-Jul-2025,,,,,,
,BUY,BUY,SELL,SELL,OPEN INTEREST AT THE END OF THE DAY,
,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores
INDEX FUTURES,10039,1917.86,20274,3907.09,203917,38819.12
BANKNIFTY FUTURES,2076,414.84,7006,1399.24,33710,6725.32
FINNIFTY FUTURES,24,4.2,29,5.07,694,121.24
MIDCPNIFTY FUTURES,622,116.14,315,58.72,19919,3705.65
NIFTY FUTURES,7235,1368.58,12889,2438.03,149031,28170.1
NIFTYNXT50 FUTURES,82,14.11,35,6.03,563,96.81
,,,,,,
INDEX OPTIONS,8759206,1658684.39,8685713,1644699.1,1151747,218726.29
BANKNIFTY OPTIONS,125453,25245.06,125547,25255.05,197708,39324.25
FINNIFTY OPTIONS,8977,1572.27,8676,1525.58,11740,2045.83
MIDCPNIFTY OPTIONS,29156,5472.64,29056,5467.43,41412,7690.48
NIFTY OPTIONS,8595584,1626388.14,8522401,1612445.31,900669,169628.28
NIFTYNXT50 OPTIONS,36,6.28,33,5.73,218,37.45
,,,,,,
STOCK FUTURES,271852,19138.3,285853,20626.78,5574805,390827.67
,,,,,,
STOCK OPTIONS,287752,21026.71,290937,21283.81,789177,55200.69
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Notes:,,,,,,
,,,,,,
Both buy and sell positions have been considered,,,,,,
Options Value (Buy/Sell) = Strike price * Qty,,,,,,
Futures Value (Buy/Sell) = Traded Price * Qty,,,,,,
,,,,,,
Value & Open Interest at the end of day:,,,,,,
Options Value (End of day) = Underlying Close Price * Qty,,,,,,
Futures Value (End of day) = Closing Futures Price * Qty  (closing price is the daily settlement price of futures contracts),,,,,,
